tag,mazeScientificName,mazeNameCN
Alpine accentor,Prunella collaris,领岩鹨
Alpine chough,Pyrrhocorax graculus,黄嘴山鸦
Alpine musk deer,Moschus chrysogaster,马麝
Altai weasel,Mustela altaica,香鼬
Argali,Ovis ammon,盘羊
Asian badger,Meles leucurus,亚洲狗獾
Asian barred owlet,Glaucidium cuculoides,斑头鸺鹠
Asian black bear,Ursus thibetanus,亚洲黑熊
Asian brush-tailed porcupine,Atherurus macrourus,帚尾豪猪
Asian golden cat,Catopuma temminckii,金猫
Asian house martin,Delichon dasypus,烟腹毛脚燕
Bar-headed goose,Anser indicus,斑头雁
Barred cuckoo-dove,Macropygia unchall,斑尾鹃鸠
Bat spp.,Chiroptera,蝙蝠类
Bay woodpecker,Blythipicus pyrrhotis,黄嘴栗啄木鸟
Bearded vulture,Gypaetus barbatus,胡兀鹫
Bengal tiger,Panthera tigris tigris,孟加拉虎
Besra,Accipiter virgatus,松雀鹰
Bird spp.,Aves,鸟类
Birds of prey,Birds of prey,猛禽
Black bulbul,Hypsipetes leucocephalus,黑短脚鹎
Black redstart,Phoenicurus ochruros,赭红尾鸲
Black-crowned night heron,Nycticorax nycticorax,夜鹭
Black-faced laughingthrush,Trochalopteron affine,黑顶噪鹛
Black-rumped magpie,Pica bottanensis,青藏喜鹊
Black-throated sunbird,Aethopyga saturata,黑胸太阳鸟
Black-throated thrush,Turdus atrogularis,黑喉鸫
Black-winged snowfinch,Montifringilla adamsi,褐翅雪雀
Blanford's snowfinch,Pyrgilauda blanfordi,棕背雪雀
Blank,Blank,无动物
Blood pheasant,Ithaginis cruentus,血雉
Blue sheep,Pseudois nayaur,岩羊
Blue whistling thrush,Myophonus caeruleus,紫啸鸫
Blue-fronted redstart,Phoenicurus frontalis,蓝额红尾鸲
Blue-naped pitta,Pitta nipalensis,蓝枕八色鸫
Blue-winged laughingthrush,Trochalopteron squamatum,蓝翅噪鹛
Blyth's tragopan,Tragopan blythii,灰腹角雉
Brandt's mountain finch,Leucosticte brandti,高山岭雀
Bronzed drongo,Dicrurus aeneus,古铜色卷尾
Brown accentor,Prunella fulvescens,褐岩鹨
Brown wood owl,Strix leptogrammica,褐林鸮
Brown-cheeked laughingthrush,Trochalopteron henrici,灰腹噪鹛
Buff-barred warbler,Phylloscopus pulcher,橙斑翅柳莺
Carrion crow,Corvus corone,小嘴乌鸦
Chestnut-bellied rock thrush,Monticola rufiventris,栗腹矶鸫
Chestnut-crowned laughingthrush,Trochalopteron erythrocephalum,红头噪鹛
Chindwin Giant flying squirrel,Petaurista sybilla,橙色小鼯鼠
Chinese forest musk deer,Moschus berezovskii,林麝
Chinese fulvetta,Fulvetta striaticollis,中华雀鹛
Chinese giant flying squirrel,Petaurista xanthotis,灰鼯鼠
Chinese goral,Naemorhedus griseus,中华斑羚
Chinese grouse,Tetrastes sewerzowi,斑尾榛鸡
Chinese pond heron,Ardeola bacchus,池鹭
Chinese serow,Capricornis milneedwardsii,中华鬣羚
Chinese white-browed rosefinch,Carpodacus dubius,白眉朱雀
Chough,Pyrrhocorax pyrrhocorax,红嘴山鸦
Chukar partridge,Alectoris chukar,石鸡
Clouded leopard,Neofelis nebulosa,云豹
Coal tit,Periparus ater,煤山雀
Collared grosbeak,Mycerobas affinis,黄颈拟蜡嘴雀
Collared treepie,Dendrocitta frontalis,黑额树鹊
Common cuckoo,Cuculus canorus,大杜鹃
Common green magpie,Cissa chinensis,蓝绿鹊
Common kingfisher,Alcedo atthis,普通翠鸟
Common leopard cat,Prionailurus bengalensis,豹猫
Common leopard,Panthera pardus,豹
Common merganser,Mergus merganser,普通秋沙鸭
Coral-billed scimitar babbler,Pomatorhinus ferruginosus,红嘴钩嘴鹛
Crested goshawk,Accipiter trivirgatus,凤头鹰
Crested hawk-eagle,Nisaetus cirrhatus,凤头鹰雕
Crested honey buzzard,Pernis ptilorhynchus,凤头蜂鹰
Crested tit-warbler,Leptopoecile elegans,凤头雀莺
Crimson-browed finch,Carpodacus subhimachalus,红眉松雀
Darjeeling woodpecker,Dendrocopos darjellensis,黄颈啄木鸟
Daurian jackdaw,Corvus dauuricus,达乌里寒鸦
Daurian redstart,Phoenicurus auroreus,北红尾鸲
Desert wheatear,Oenanthe deserti,漠䳭
Dhole,Cuon alpinus,豺
Domestic camel,Camelus bactrianus,双峰驼
Domestic cat,Felis catus,家猫
Domestic dog,Canis familiaris,家犬
Domestic horse,Equus caballus,家马
Domestic pig,Sus scrofa domesticus,家猪
Domestic sheep,Ovis aries,绵羊
Domestic yak,Bos grunniens,家牦牛
Dusky musk deer,Moschus fuscus,黑麝
Dusky warbler,Phylloscopus fuscatus,褐柳莺
Elliot's laughingthrush,Trochalopteron elliotii,橙翅噪鹛
Eurasian eagle owl,Bubo bubo,雕鸮
Eurasian hobby,Falco subbuteo,燕隼
Eurasian hoopoe,Upupa epops,戴胜
Eurasian jay,Garrulus glandarius,松鸦
Eurasian kestrel,Falco tinnunculus,红隼
Eurasian lynx,Lynx lynx,猞猁
Eurasian otter,Lutra lutra,欧亚水獭
Eurasian sparrowhawk,Accipiter nisus,雀鹰
Eurasian woodcock,Scolopax rusticola,丘鹬
Forrest's pika,Ochotona forresti,灰颈鼠兔
Fox spp.,Vulpes,狐类
Giant babax,Babax waddelli,大草鹛
Giant laughingthrush,Ianthocincla maxima,大噪鹛
Glover's pika,Ochotona gloveri,川西鼠兔
Godlewski's bunting,Emberiza godlewskii,戈氏岩鹀
Goldcrest,Regulus regulus,戴菊
Golden bush robin,Tarsiger chrysaeus,金色林鸲
Golden eagle,Aquila chrysaetos,金雕
Golden-throated barbet,Psilopogon franklinii,金喉拟啄木鸟
Gongshan muntjac,Muntiacus gongshanensis,贡山麂
Grandala,Grandala coelicolor,蓝大翅鸲
Gray wolf,Canis lupus,狼
Gray-headed flying squirrel,Petaurista caniceps,灰头小鼯鼠
Great barbet,Psilopogon virens,大拟啄木鸟
Great cormorant,Phalacrocorax carbo,普通鸬鹚
Great rosefinch,Carpodacus rubicilla,大朱雀
Greater necklaced laughingthrush,Garrulax pectoralis,黑领噪鹛
Green cochoa,Cochoa viridis,绿宽嘴鸫
